# G F1 F2 MPI
200 36.739093 38.018800 12.525832
210 53.899146 74.272795 12.525832
220 30.966085 30.689803 12.525832
230 48.366846 47.848843 12.525832
240 25.144912 25.477136 12.525832
250 41.008684 40.898876 12.525832
260 57.248681 56.142910 12.525832
270 31.208407 31.291790 12.525832
280 43.900571 44.037871 12.525832
290 27.170808 26.725337 12.525832
300 40.075862 39.592721 12.525832
310 53.059410 52.765113 12.525832
320 35.453767 35.196160 12.525832
330 48.102431 50.041850 12.525832
340 31.297820 30.534517 12.525832
350 42.870332 43.411164 12.525832
360 27.477164 26.604146 12.525832
370 39.552416 39.067196 12.525832
380 51.173664 50.825476 12.525832
390 33.393362 33.718125 12.525832
400 39.954210 41.056019 12.525832
410 26.174017 26.570080 12.525832
420 34.121757 34.228449 12.525832
430 42.610029 42.584141 12.525832
440 31.478632 31.698427 12.525832
450 39.449872 39.956563 12.525832
460 28.821566 28.620665 12.525832
470 37.604189 37.060351 12.525832
480 26.046083 27.005091 12.525832
490 34.598201 34.548471 12.525832
500 43.196904 42.919137 12.525832
510 31.581319 31.443405 12.525832
520 40.914551 39.514325 12.525832
530 28.883375 28.957704 12.525832
540 37.204217 37.332626 12.525832
550 45.781437 46.229354 12.525832
560 34.721043 34.380072 12.525832
570 43.687836 43.196765 12.525832
580 31.897765 31.655135 12.525832
590 40.730988 40.418362 12.525832
600 29.482325 28.628485 12.525832
610 37.263212 37.545700 12.525832
620 46.680572 46.173820 12.525832
630 35.232891 34.965656 12.525832
640 43.352651 43.207012 12.525832
650 30.945170 31.775048 12.525832
660 39.035529 39.874277 12.525832
670 48.694301 49.280566 12.525832
680 38.726108 38.161431 12.525832
690 46.682768 45.964765 12.525832
700 33.543919 33.380232 12.525832

